name,type,technology,owner,category,platform,secondary_tech,warehouse
adf_bookingstaging,ingestion,Azure ADF,zach,orchestration,azure,blob,snowflake
adf_marketinganalytics,ingestion,Azure ADF,zach,orchestration,azure,,snowflake
adf_marketingbase,ingestion,Azure ADF,zach,orchestration,azure,,snowflake
adf_marketingreporting,Ingestion,Azure ADF,twks,orchestration,azure,blob,snowflake
adf_pardotapi,ingestion,Azure ADF,zach,orchestration,azure,,snowflake
adf_salesreporting,ingestion,Azure ADF,zach,orchestration,azure,,snowflake
adf_salesreporting_l2c,ingestion,Azure ADF,twks,orchestration,azure,,snowflake
arr,Ingestion,AWS Airflow,ind,orchestration,aws,meltano,snowflake
aws_RD,Transformation,AWS Airflow,zach,orchestration,aws,snowpark,snowflake
boomi,Ingestion,AWS Airflow,twks,orchestration,aws,custom_scripts,snowflake
cost_tracking,Ingestion,Snowflake Fivetran,ind,ingestion,snowflake,,snowflake
cvent,Ingestion,Snowflake Fivetran,zach,ingestion,snowflake,s3,snowflake
cvent_fivetran,Ingestion,Snowflake Fivetran,twks,ingestion,snowflake,s3,snowflake
defer_sources,Transformation,AWS Airflow,ind,orchestration,aws,snowpark,snowflake
digital_ecosystem,Transformation,AWS Airflow,zach,orchestration,aws,custom_scripts,snowflake
elementary_data,Transformation,AWS Airflow,twks,orchestration,aws,,snowflake
facebook_ads,Ingestion,Snowflake Fivetran,ind,ingestion,snowflake,,snowflake
google_ads,Ingestion,Snowflake Fivetran,zach,ingestion,snowflake,,snowflake
google_analytics,Ingestion,Snowflake Fivetran,twks,ingestion,snowflake,,snowflake
google_search_console,Ingestion,Snowflake Fivetran,ind,ingestion,snowflake,,snowflake
hginsights,Transformation,AWS Airflow,zach,orchestration,aws,meltano,snowflake
highspot,Transformation,AWS Airflow,twks,orchestration,aws,,snowflake
hive9,Transformation,AWS Airflow,ind,orchestration,aws,,snowflake
jenkins_jobs,Transformation,AWS Airflow,zach,orchestration,aws,custom_scripts,snowflake
linkedin_ads,Ingestion,Snowflake Fivetran,twks,ingestion,snowflake,,snowflake
marketo,Ingestion,Snowflake Fivetran,ind,ingestion,snowflake,,snowflake
marta_development_marketing,Transformation,Azure ADF,zach,orchestration,azure,,snowflake
meltano_google_search_console,Ingestion,AWS Airflow,twks,orchestration,aws,meltano,snowflake
pricing,Transformation,AWS Airflow,ind,orchestration,aws,,fabric
rd_diskgroup_automation,Transformation,AWS Airflow,zach,orchestration,aws,custom_scripts,snowflake
salesforce,Ingestion,Snowflake Fivetran,twks,ingestion,snowflake,,snowflake
salesloft,Ingestion,Snowflake Fivetran,ind,ingestion,snowflake,,snowflake
segment_destination,Ingestion,Snowflake Fivetran,zach,ingestion,snowflake,,snowflake
sfdc_warehouse,Transformation,Azure ADF,twks,orchestration,azure,,snowflake
sixsense,Transformation,AWS Airflow,ind,orchestration,aws,snowpark,snowflake
social_facebook_pages,Ingestion,Snowflake Fivetran,zach,ingestion,snowflake,,snowflake
social_instagram_business,Ingestion,Snowflake Fivetran,twks,ingestion,snowflake,,snowflake
social_linkedin_company_pages,Ingestion,Snowflake Fivetran,ind,ingestion,snowflake,,snowflake
social_media_data_meltano,Ingestion,AWS Airflow,zach,orchestration,aws,meltano,snowflake
social_twitter,Ingestion,Snowflake Fivetran,twks,ingestion,snowflake,,snowflake
social_youtube_analytics,Ingestion,Snowflake Fivetran,ind,ingestion,snowflake,,snowflake
thought_industries,Transformation,AWS Airflow,zach,orchestration,aws,,sqlserver
totango,Ingestion,Snowflake Fivetran,twks,ingestion,snowflake,,snowflake
vidyard,Ingestion,Snowflake Fivetran,ind,ingestion,snowflake,,snowflake
workday,Transformation,Azure ADF,zach,orchestration,azure,,fabric
zuora,Ingestion,Snowflake Fivetran,twks,ingestion,snowflake,,snowflake 
